ZIP,ROA,DEPDOM,DATEUPDT,ROE,STNAME,ASSET,OFFICES,NETINC,DEP,NAME,CITY,CERT,STALP,ID,COLLECTION_DATE
22102,0.7871533809176313,131834548.0,08/31/2022,8.17,Virginia,169752417.0,41.0,657022.0,140806601.0,"HSBC Bank USA, National Association",Tysons,57890,VA,57890,2025-11-07 16:16:27.388590
35203,1.4779326733679836,132002000.0,03/27/2023,13.65,Alabama,157807000.0,1262.0,1163000.0,132002000.0,Regions Bank,Birmingham,12368,AL,12368,2025-11-07 16:16:27.388590
84111,1.1424326020408149,98441268.0,08/31/2022,13.72,Utah,114294933.0,1.0,665934.0,98441268.0,UBS Bank USA,Salt Lake City,57565,UT,57565,2025-11-07 16:16:27.388590
84020,2.7072171909172305,84798000.0,08/31/2022,21.49,Utah,113897000.0,2.0,1537000.0,84798000.0,Synchrony Bank,Draper,27314,UT,27314,2025-11-07 16:16:27.388590
85085,0.4704772464829069,92765000.0,06/20/2024,11.87,Arizona,106476000.0,2.0,256000.0,92765000.0,USAA Federal Savings Bank,Phoenix,32188,AZ,32188,2025-11-07 16:16:27.388590
19801,0.9692988683390512,79531237.0,08/31/2022,7.78,Delaware,103352050.0,380.0,501792.0,79531237.0,"Santander Bank, N.A.",Wilmington,29950,DE,29950,2025-11-07 16:16:27.388590
90071,0.7981073670338137,77761501.0,05/09/2024,6.43,California,94207350.0,71.0,371851.0,77761501.0,City National Bank,Los Angeles,17281,CA,17281,2025-11-07 16:16:27.388590
11801,-0.2648290409026035,70246292.0,09/06/2024,-2.98,New York,92176203.0,345.0,-127933.0,70246292.0,"Flagstar Bank, National Association",Hicksville,32541,NY,32541,2025-11-07 16:16:27.388590
84133,0.9350596682965682,74054523.0,04/15/2025,13.04,Utah,88892748.0,414.0,414013.0,74054523.0,"Zions Bancorporation, N.A.",Salt Lake City,2270,UT,2270,2025-11-07 16:16:27.388590
85004,1.0386833859266773,71378277.0,04/09/2024,12.16,Arizona,86623395.0,37.0,433528.0,71378277.0,Western Alliance Bank,Phoenix,57512,AZ,57512,2025-11-07 16:16:27.388590
06905,1.2437017864623596,66605483.0,11/18/2024,10.43,Connecticut,81842488.0,196.0,499578.0,66605483.0,"Webster Bank, National Association",Stamford,18221,CT,18221,2025-11-07 16:16:27.388590
38103,1.2755820656269254,66325396.0,08/31/2022,11.57,Tennessee,81784169.0,421.0,520547.0,66325396.0,First Horizon Bank,Memphis,4977,TN,4977,2025-11-07 16:16:27.388590
75201,0.9852426308871013,61274000.0,08/31/2022,11.93,Texas,78039000.0,360.0,386000.0,61584000.0,Comerica Bank,Dallas,983,TX,983,2025-11-07 16:16:27.388590
91101,1.5849469995880998,61573242.0,12/01/2023,16.19,California,77620355.0,99.0,605382.0,65152247.0,East West Bank,Pasadena,31628,CA,31628,2025-11-07 16:16:27.388590
64106,0.9186481780632918,60599246.0,09/24/2025,10.15,Missouri,71438991.0,210.0,291829.0,60599246.0,"UMB Bank, National Association",Kansas City,8273,MO,8273,2025-11-07 16:16:27.388590
47708,1.0431439451071152,54862635.0,06/11/2025,9.09,Indiana,70701190.0,362.0,308632.0,54862635.0,Old National Bank,Evansville,3832,IN,3832,2025-11-07 16:16:27.388590
33880,1.1479288249867396,54199181.0,01/08/2025,8.21,Florida,65865505.0,371.0,339297.0,54199181.0,"SouthState Bank, National Association",Winter Haven,33555,FL,33555,2025-11-07 16:16:27.388590
07055,0.8224692772430195,50787498.0,08/31/2022,6.42,New Jersey,62649952.0,238.0,256219.0,50787498.0,Valley National Bank,Passaic,9396,NJ,9396,2025-11-07 16:16:27.388590
31901,1.4329802723306058,50771713.0,11/16/2024,15.93,Georgia,60919986.0,252.0,432874.0,50771713.0,Synovus Bank,Columbus,873,GA,873,2025-11-07 16:16:27.388590
00918,1.1470281543274243,55510000.0,05/14/2025,20.32,Puerto Rico,60778000.0,166.0,341000.0,55955000.0,Banco Popular de Puerto Rico,San Juan,34968,PR,34968,2025-11-07 16:16:27.388590
60603,1.508848782867867,47592603.0,12/17/2024,8.86,Illinois,60355912.0,23.0,460642.0,47592603.0,CIBC Bank USA,Chicago,33306,IL,33306,2025-11-07 16:16:27.388590
37203,1.1870601463701838,45253115.0,06/11/2025,9.63,Tennessee,54690073.0,180.0,319225.0,45253115.0,Pinnacle Bank,Nashville,35583,TN,35583,2025-11-07 16:16:27.388590
97470,0.9780563578783682,41821443.0,09/23/2025,9.05,Oregon,51892650.0,376.0,252612.0,41821443.0,Columbia Bank,Roseburg,17266,OR,17266,2025-11-07 16:16:27.388590
78205,1.2140106620699873,42174331.0,08/31/2022,15.88,Texas,51489892.0,213.0,315906.0,42174331.0,Frost  Bank,San Antonio,5510,TX,5510,2025-11-07 16:16:27.388590
74172,1.0537017167488747,38499749.0,08/31/2022,10.02,Oklahoma,50922342.0,115.0,264713.0,38499749.0,"BOKF, National Association",Tulsa,4214,OK,4214,2025-11-07 16:16:27.388590
38804,1.0983014671408728,40493518.0,07/09/2025,9.26,Mississippi,50378840.0,416.0,267867.0,40493518.0,Cadence Bank,Tupelo,11813,MS,11813,2025-11-07 16:16:27.388590
16125,1.133601845094844,38597852.0,01/10/2023,8.78,Pennsylvania,49501367.0,362.0,277258.0,38597852.0,First National Bank of Pennsylvania,Greenville,7888,PA,7888,2025-11-07 16:16:27.388590
10018,0.0,18734530.0,08/31/2022,0.0,New York,45584380.0,1.0,0.0,20227347.0,Bank of China,New York,33653,NY,33653,2025-11-07 16:16:27.388590
32202,0.674743602529108,34815654.0,04/15/2025,7.63,Florida,44446323.0,43.0,142941.0,34815654.0,"EverBank, National Association",Jacksonville,34775,FL,34775,2025-11-07 16:16:27.388590
19801,1.3705379137367313,34923000.0,08/31/2022,9.96,Delaware,44013000.0,1.0,306000.0,34923000.0,Barclays Bank Delaware,Wilmington,57203,DE,57203,2025-11-07 16:16:27.388590
54301,1.0040773604334499,34198680.0,08/31/2022,9.59,Wisconsin,43932191.0,187.0,217796.0,34198680.0,"Associated Bank, National Association",Green Bay,5296,WI,5296,2025-11-07 16:16:27.388590
10019,2.2563213786450627,30415000.0,07/29/2024,9.29,New York,42880000.0,1.0,460000.0,30415000.0,Deutsche Bank Trust Company Americas,New York,623,NY,623,2025-11-07 16:16:27.388590
33716,1.4215282886050244,38355667.0,08/31/2022,19.81,Florida,42320219.0,1.0,297260.0,38355667.0,Raymond James Bank,Saint Petersburg,33893,FL,33893,2025-11-07 16:16:27.388590
72223,1.7914250158462004,33522080.0,08/31/2022,12.2,Arkansas,41454390.0,264.0,354937.0,33522080.0,Bank OZK,Little Rock,110,AR,110,2025-11-07 16:16:27.388590
73118,1.1841695902264253,24738750.0,05/22/2025,12.42,Oklahoma,40442347.0,94.0,234958.0,24738750.0,MidFirst Bank,Oklahoma City,4063,OK,4063,2025-11-07 16:16:27.388590
77437,1.3900406424983587,27802726.0,04/04/2024,7.36,Texas,38428862.0,324.0,270567.0,27802726.0,Prosperity Bank,El Campo,16835,TX,16835,2025-11-07 16:16:27.388590
23219,0.6370352317801871,31074801.0,04/07/2025,4.42,Virginia,37203504.0,190.0,91513.0,31074801.0,Atlantic Union Bank,Richmond City,34589,VA,34589,2025-11-07 16:16:27.388590
84121,2.0533362581142143,29722621.0,03/14/2024,14.52,Utah,36284122.0,4.0,343005.0,29722621.0,"SoFi Bank, National Association",Cottonwood Heights,26881,UT,26881,2025-11-07 16:16:27.388590
33016,0.8502780765486948,29240951.0,08/31/2022,9.37,Florida,35441030.0,55.0,149449.0,29240951.0,"BankUnited, National Association",Miami Lakes,58979,FL,58979,2025-11-07 16:16:27.388590
39501,1.365724239313451,29322581.0,05/12/2025,11.57,Mississippi,35205094.0,183.0,239013.0,29322581.0,Hancock Whitney Bank,Gulfport,12441,MS,12441,2025-11-07 16:16:27.388590
19808,1.185413189484428,27968141.0,08/31/2022,9.47,Delaware,34505990.0,1.0,206962.0,27968141.0,"TD Bank USA, National Association",Wilmington,33947,DE,33947,2025-11-07 16:16:27.388590
90049,0.5884816221860218,27672235.0,01/03/2024,5.17,California,34163241.0,88.0,99369.0,27672235.0,Banc of California,Los Angeles,24045,CA,24045,2025-11-07 16:16:27.388590
22030,1.3947881372112945,26549454.0,01/14/2025,8.38,Virginia,32679829.0,237.0,221528.0,26549454.0,United Bank,Fairfax,22858,VA,22858,2025-11-07 16:16:27.388590
64106,1.772260248059813,25857764.0,09/30/2025,19.71,Missouri,32100158.0,144.0,283996.0,25857764.0,Commerce Bank,Kansas City,24998,MO,24998,2025-11-07 16:16:27.388590
17602,1.2867590089012633,26381618.0,04/29/2024,12.27,Pennsylvania,31895491.0,212.0,205453.0,26381618.0,"Fulton Bank, National Association",Lancaster,7551,PA,7551,2025-11-07 16:16:27.388590
75201,0.8593941655468136,26529057.0,10/06/2025,7.97,Texas,31631701.0,10.0,133716.0,26529057.0,Texas Capital Bank,Dallas,34383,TX,34383,2025-11-07 16:16:27.388590
68102,1.4040117212851457,25521702.0,10/08/2025,13.63,Nebraska,31561847.0,142.0,223096.0,25521702.0,First National Bank of Omaha,Omaha,5452,NE,5452,2025-11-07 16:16:27.388590
15258,0.8250623787080678,24808000.0,07/31/2023,6.83,Pennsylvania,29578000.0,31.0,124000.0,24808000.0,"BNY Mellon, National Association",Pittsburgh,7946,PA,7946,2025-11-07 16:16:27.388590
84101,2.9230683547266763,20813782.0,08/31/2022,30.23,Utah,29548460.0,1.0,431245.0,20813782.0,Sallie Mae Bank,Salt Lake City,58177,UT,58177,2025-11-07 16:16:27.388590
59901,0.8253533991105989,21806818.0,10/08/2025,7.0,Montana,28986503.0,264.0,116533.0,21806818.0,Glacier Bank,Kalispell,30788,MT,30788,2025-11-07 16:16:27.388590
29601,1.1081985047506078,24386841.0,05/12/2025,9.33,South Carolina,28042982.0,191.0,155889.0,24386841.0,United Community Bank,Greenville,16889,SC,16889,2025-11-07 16:16:27.388590
59101,0.9658288037298756,23024844.0,10/27/2025,8.22,Montana,27490940.0,290.0,136440.0,23024844.0,First Interstate Bank,Billings,1105,MT,1105,2025-11-07 16:16:27.388590
26003,0.5171115486284876,21291014.0,03/14/2025,3.55,West Virginia,27462417.0,254.0,63288.0,21291014.0,"WesBanco Bank, Inc.",Wheeling,803,WV,803,2025-11-07 16:16:27.388590
72701,0.38319863164060153,24142812.0,12/14/2022,5.05,Arkansas,27346593.0,227.0,51974.0,24142812.0,Arvest Bank,Fayetteville,8728,AR,8728,2025-11-07 16:16:27.388590
33130,0.9013113188327948,21529120.0,08/31/2022,9.29,Florida,27059543.0,31.0,121289.0,21529120.0,City National Bank of Florida,Miami,20234,FL,20234,2025-11-07 16:16:27.388590
80215,1.2620550890358795,23480126.0,04/15/2025,20.88,Colorado,26761023.0,95.0,170627.0,23480126.0,FirstBank,Lakewood,18714,CO,18714,2025-11-07 16:16:27.388590
98101,0.8885972713838394,21513065.0,10/08/2025,8.05,Washington,26719225.0,211.0,121470.0,21513065.0,WaFd Bank,Seattle,28088,WA,28088,2025-11-07 16:16:27.388590
71601,0.7932727771920646,22087312.0,08/31/2022,5.94,Arkansas,26628111.0,233.0,106061.0,22087312.0,Simmons Bank,Pine Bluff,3890,AR,3890,2025-11-07 16:16:27.388590
38804,0.5235341287584073,21944648.0,04/08/2025,3.51,Mississippi,26605052.0,275.0,54896.0,21944648.0,Renasant Bank,Tupelo,12437,MS,12437,2025-11-07 16:16:27.388590
30305,1.5940138815204878,22113152.0,08/31/2022,10.87,Georgia,26601583.0,178.0,210422.0,22113152.0,Ameris Bank,Atlanta,20504,GA,20504,2025-11-07 16:16:27.388590
02110,-0.8807348866527744,21362168.0,11/18/2024,-6.45,Massachusetts,25452952.0,111.0,-111545.0,21362168.0,Eastern Bank,Boston,32773,MA,32773,2025-11-07 16:16:27.388590
07302,1.265746788023268,18769065.0,05/31/2024,10.35,New Jersey,24549890.0,145.0,153622.0,18769065.0,Provident Bank,Jersey City,12010,NJ,12010,2025-11-07 16:16:27.388590
76262,1.4336917562724014,22183000.0,04/11/2024,16.25,Texas,24433000.0,1.0,182000.0,22183000.0,"Charles Schwab Premier Bank, SSB",Westlake,33497,TX,33497,2025-11-07 16:16:27.388590
55402,3.1009337293059223,22499683.0,03/27/2025,56.22,Minnesota,24008307.0,2.0,371031.0,22499683.0,"Ameriprise Bank, FSB",Minneapolis,58303,MN,58303,2025-11-07 16:16:27.388590
92122,1.528610815993255,21039550.0,09/23/2024,14.62,California,23895495.0,3.0,177919.0,21039550.0,Axos Bank,San Diego,35546,CA,35546,2025-11-07 16:16:27.388590
96813,1.1472599172117888,18174598.0,04/09/2024,10.34,Hawaii,23840127.0,49.0,136560.0,20246484.0,First Hawaiian Bank,Honolulu,17985,HI,17985,2025-11-07 16:16:27.388590
90012,1.3422718410482188,19793346.0,04/11/2024,10.65,California,23709143.0,66.0,156452.0,20028958.0,Cathay Bank,Los Angeles,18503,CA,18503,2025-11-07 16:16:27.388590
96813,0.7816711745733556,19524689.0,07/10/2024,11.69,Hawaii,23677044.0,50.0,92625.0,20891434.0,Bank of Hawaii,Honolulu,18053,HI,18053,2025-11-07 16:16:27.388590
72032,2.114451074463725,17977063.0,08/31/2022,12.51,Arkansas,22735541.0,234.0,239894.0,17977063.0,Centennial Bank,Conway,11241,AR,11241,2025-11-07 16:16:27.388590
19355,0.7110034405104625,19081468.0,03/05/2025,8.57,Pennsylvania,22541660.0,7.0,79696.0,19081468.0,Customers Bank,Malvern,34444,PA,34444,2025-11-07 16:16:27.388590
10022,0.0,12720709.0,10/11/2023,0.0,New York,22244049.0,1.0,0.0,12720709.0,State Bank of India,New York,33682,NY,33682,2025-11-07 16:16:27.388590
15219,0.7206111462224724,19407945.0,03/13/2024,10.42,Pennsylvania,21174085.0,2.0,75485.0,19407945.0,TriState Capital Bank,Pittsburgh,58457,PA,58457,2025-11-07 16:16:27.388590
19801,1.4031421944161444,17533926.0,01/07/2022,11.49,Delaware,20677502.0,96.0,144664.0,17533926.0,"Wilmington Savings Fund Society, FSB",Wilmington,17838,DE,17838,2025-11-07 16:16:27.388590
02370,1.063022608571281,16190169.0,07/09/2025,6.79,Massachusetts,20051412.0,152.0,105093.0,16190169.0,Rockland Trust Company,Rockland,9712,MA,9712,2025-11-07 16:16:27.388590
84020,2.7747122812549265,15088000.0,03/25/2024,22.18,Utah,19571000.0,1.0,264000.0,15088000.0,"Optum Bank, Inc.",Draper,57408,UT,57408,2025-11-07 16:16:27.388590
46032,1.0548034752582485,12751155.0,07/08/2024,9.41,Indiana,19083804.0,7.0,99234.0,12751155.0,Merchants Bank of Indiana,Carmel,8056,IN,8056,2025-11-07 16:16:27.388590
65101,1.7490444201568183,15068810.0,07/15/2024,18.5,Missouri,19070360.0,180.0,168643.0,15068810.0,The Central Trust Bank,Jefferson City,12633,MO,12633,2025-11-07 16:16:27.388590
00909,1.623795599299998,16347145.0,05/22/2025,17.81,Puerto Rico,18892486.0,74.0,155021.0,16608815.0,FirstBank Puerto Rico,Santurce,30387,PR,30387,2025-11-07 16:16:27.388590
61820,0.3871646493129184,15946809.0,06/25/2025,3.15,Illinois,18866438.0,80.0,37404.0,15946809.0,Busey Bank,Champaign,16450,IL,16450,2025-11-07 16:16:27.388590
39201,1.2392910852502472,15215904.0,08/22/2025,10.78,Mississippi,18613278.0,182.0,113720.0,15215904.0,Trustmark Bank,Jackson,4988,MS,4988,2025-11-07 16:16:27.388590
47305,1.2656131324019955,14860189.0,12/16/2024,10.03,Indiana,18580550.0,120.0,116659.0,14860189.0,First Merchants Bank,Muncie,4365,IN,4365,2025-11-07 16:16:27.388590
90010,0.002324699827408131,15960251.0,04/14/2025,0.02,California,18540032.0,79.0,204.0,15960251.0,Bank of Hope,Los Angeles,26610,CA,26610,2025-11-07 16:16:27.388590
45202,1.480796496250363,14628614.0,07/07/2025,11.13,Ohio,18535850.0,135.0,136620.0,14628614.0,First Financial Bank,Cincinnati,6600,OH,6600,2025-11-07 16:16:27.388590
63102,1.8378270363205427,16860531.0,08/31/2022,25.91,Missouri,18469661.0,2.0,176154.0,16860531.0,Stifel Bank and Trust,Saint Louis,57311,MO,57311,2025-11-07 16:16:27.388590
10168,0.26749949251813987,14679566.0,01/22/2024,3.14,New York,18346276.0,82.0,23966.0,14679566.0,Apple Bank,New York,16068,NY,16068,2025-11-07 16:16:27.388590
23703,0.9842392404618188,15468462.0,09/12/2025,7.96,Virginia,18264614.0,74.0,89430.0,15468462.0,TowneBank,Portsmouth,35095,VA,35095,2025-11-07 16:16:27.388590
35209,1.4157269198087366,13884822.0,08/31/2022,14.57,Alabama,17377493.0,33.0,125915.0,13884822.0,ServisFirst Bank,Birmingham,57993,AL,57993,2025-11-07 16:16:27.388590
44105,0.4799881185293185,10493100.0,08/31/2022,4.8,Ohio,17363064.0,36.0,41206.0,10493100.0,Third Federal Savings and Loan Association of Cleveland,Cleveland,30012,OH,30012,2025-11-07 16:16:27.388590
89134,0.18992374417192853,5793101.0,03/13/2024,0.99,Nevada,16985384.0,11.0,15665.0,5793101.0,Beal Bank USA,Las Vegas,57833,NV,57833,2025-11-07 16:16:27.388590
94596,1.0433826061942164,13972737.0,09/16/2025,7.3,California,16575049.0,173.0,86276.0,13972737.0,Mechanics Bank,Walnut Creek,1768,CA,1768,2025-11-07 16:16:27.388590
74701,0.85190948192287,12620498.0,10/04/2024,9.73,Oklahoma,16438030.0,84.0,69552.0,12620498.0,First United Bank and Trust Company,Durant,4239,OK,4239,2025-11-07 16:16:27.388590
99362,1.1698716068154018,13594235.0,08/31/2022,10.3,Washington,16431475.0,145.0,95207.0,13594235.0,Banner Bank,Walla Walla,28489,WA,28489,2025-11-07 16:16:27.388590
13617,1.0593734534286652,13901072.0,01/09/2023,12.07,New York,16405831.0,196.0,86586.0,13901072.0,"Community Bank, National Association",Canton,6989,NY,6989,2025-11-07 16:16:27.388590
63105,1.3583362225235474,13454408.0,10/27/2025,11.44,Missouri,16046611.0,58.0,106997.0,13454408.0,Enterprise Bank & Trust,Clayton,27237,MO,27237,2025-11-07 16:16:27.388590
34994,0.9673648891238593,12504088.0,07/22/2025,6.84,Florida,15935315.0,96.0,75496.0,12504088.0,Seacoast National Bank,Stuart,131,FL,131,2025-11-07 16:16:27.388590
13815,0.7730431143780359,13755622.0,05/19/2025,7.0,New York,15907470.0,177.0,55854.0,13755622.0,"NBT Bank, National Association",Norwich,7230,NY,7230,2025-11-07 16:16:27.388590
91764,1.366014324992383,12039373.0,04/11/2024,9.5,California,15418191.0,70.0,104368.0,12039373.0,Citizens Business Bank,Ontario,21716,CA,21716,2025-11-07 16:16:27.388590
94104,0.5770093817451328,12599000.0,08/31/2022,4.93,California,14984000.0,1.0,45000.0,12599000.0,"Bank of America California, National Association",San Francisco,25178,CA,25178,2025-11-07 16:16:27.388590
10004,0.5135204901280445,11946196.0,08/31/2022,3.72,New York,14864258.0,39.0,37423.0,11946196.0,Popular Bank,New York,34967,NY,34967,2025-11-07 16:16:27.388590
10016,0.0,8912373.0,03/13/2025,0.0,New York,14562042.0,1.0,0.0,8912373.0,Bank of Baroda,New York,33681,NY,33681,2025-11-07 16:16:27.388590
16365,1.1571602595031762,12505459.0,08/06/2025,10.34,Pennsylvania,14493942.0,166.0,83764.0,12505459.0,Northwest Bank,Warren,28178,PA,28178,2025-11-07 16:16:27.388590
79601,1.7015932844123793,12573020.0,05/16/2024,15.64,Texas,14324488.0,83.0,120555.0,12573020.0,First Financial Bank,Abilene,3066,TX,3066,2025-11-07 16:16:27.388590
11788,0.832475771663547,11830011.0,08/31/2022,7.4,New York,14196848.0,64.0,59132.0,11830011.0,Dime Community Bank,Hauppauge,6976,NY,6976,2025-11-07 16:16:27.388590
75201,1.3055823377402451,10695074.0,12/15/2022,13.95,Texas,14182375.0,3.0,91466.0,10695074.0,NexBank,Dallas,29209,TX,29209,2025-11-07 16:16:27.388590
58103,0.6030162506447895,12025413.0,07/30/2024,6.31,North Dakota,14066290.0,33.0,43316.0,12025413.0,Bell Bank,Fargo,19581,ND,19581,2025-11-07 16:16:27.388590
07632,0.07288650606462974,11410148.0,06/09/2025,0.58,New Jersey,13906220.0,61.0,4073.0,11410148.0,ConnectOne Bank,Englewood Cliffs,57919,NJ,57919,2025-11-07 16:16:27.388590
28403,0.5863703091840319,12635750.0,03/14/2024,7.8,North Carolina,13741177.0,1.0,39190.0,12635750.0,Live Oak Banking Company,Wilmington,58665,NC,58665,2025-11-07 16:16:27.388590
10036,0.5673634754704876,11713518.0,08/31/2022,5.78,New York,13637752.0,8.0,38841.0,11713518.0,Israel Discount Bank of New York,New York,19977,NY,19977,2025-11-07 16:16:27.388590
37203,0.6640451196491599,11443673.0,07/16/2025,5.62,Tennessee,13323769.0,133.0,43771.0,11443673.0,FirstBank,Nashville,8663,TN,8663,2025-11-07 16:16:27.388590
08753,0.6574172278462009,10351901.0,08/31/2022,5.14,New Jersey,13235515.0,41.0,43593.0,10351901.0,"OceanFirst Bank, National Association",Toms River,28359,NJ,28359,2025-11-07 16:16:27.388590
84020,1.963627954491923,9999295.0,07/14/2023,13.9,Utah,12908706.0,1.0,128983.0,9999295.0,Comenity Capital Bank,Draper,57570,UT,57570,2025-11-07 16:16:27.388590
28387,1.2657981746258717,10852445.0,03/21/2023,9.94,North Carolina,12602725.0,116.0,78453.0,10852445.0,First Bank,Southern Pines,15019,NC,15019,2025-11-07 16:16:27.388590
75205,1.0643898358073793,10485419.0,08/31/2022,9.25,Texas,12409286.0,58.0,68500.0,10485419.0,PlainsCapital Bank,University Park,17491,TX,17491,2025-11-07 16:16:27.388590
84121,2.384436660216608,7985989.0,07/10/2023,15.97,Utah,12280786.0,1.0,146316.0,7985989.0,BMW Bank of North America,Salt Lake City,35141,UT,35141,2025-11-07 16:16:27.388590
15701,1.190197875542434,10194912.0,05/23/2025,9.93,Pennsylvania,12205300.0,130.0,70451.0,10194912.0,First Commonwealth Bank,Indiana,7468,PA,7468,2025-11-07 16:16:27.388590
00918,1.5888078045979666,10151526.0,09/09/2024,15.54,Puerto Rico,12105702.0,45.0,92976.0,10151526.0,Oriental Bank,San Juan,31469,PR,31469,2025-11-07 16:16:27.388590
15222,0.4809188939301377,9803672.0,09/12/2022,4.78,Pennsylvania,11943351.0,91.0,28315.0,9803672.0,"Dollar Bank, Federal Savings Bank",Pittsburgh,32245,PA,32245,2025-11-07 16:16:27.388590
73102,1.7567887030982259,10415989.0,09/18/2023,16.43,Oklahoma,11854841.0,116.0,102540.0,10415989.0,BancFirst,Oklahoma City,27476,OK,27476,2025-11-07 16:16:27.388590
