owner_cik,owned_ticker,owned_company_name,ownership_value,shares_held,filing_date,relationship_type,network_layer,is_synthetic
0000315066,UNK_21,Company_0002012383,105864519.42887056,5018509,2024-01-15,equity_ownership,ownership,
0001067983,UNK_835,Company_0000006951,382738624.8884988,2571385,2024-10-19,equity_ownership,ownership,
0001067983,UNK_653,Company_0000896878,736021696.4530141,3065216,2024-08-18,equity_ownership,ownership,
0000315066,UNK_264,Company_0000021344,880404915.7619442,8141012,2024-08-26,equity_ownership,ownership,
0001067983,UNK_973,Company_0000909832,731639015.2670174,9530038,2024-06-12,equity_ownership,ownership,
0001364742,UNK_434,Company_0000886982,148926159.48905972,2966949,2024-01-07,equity_ownership,ownership,
0001067983,UNK_497,Company_0000796343,358438633.2695566,7808254,2024-03-11,equity_ownership,ownership,
0000315066,UNK_346,Company_0001141391,536904835.884241,5844384,2024-03-20,equity_ownership,ownership,
0000315066,UNK_138,Company_0000109198,756028322.0816228,5457108,2024-11-05,equity_ownership,ownership,
0000315066,UNK_378,Company_0000858877,424728753.2017357,9901289,2024-07-27,equity_ownership,ownership,
0000315066,UNK_350,Company_0000858877,466260944.55794793,3209456,2024-03-08,equity_ownership,ownership,
0000315066,UNK_951,Company_0000820313,223962609.6482066,4362928,2024-10-21,equity_ownership,ownership,
0001067983,UNK_148,Company_0000732712,677666371.1109998,8920660,2024-08-02,equity_ownership,ownership,
0001364742,UNK_526,Company_0000097745,905484611.8798213,8277621,2024-03-03,equity_ownership,ownership,
0001364742,UNK_528,Company_0000019617,819901042.8744698,1989126,2024-04-11,equity_ownership,ownership,
0000315066,UNK_48,Company_0001594805,46197699.76562407,2616757,2024-11-24,equity_ownership,ownership,
0000315066,UNK_783,Company_0000217410,635644582.0129908,6246463,2024-12-25,equity_ownership,ownership,
0000315066,UNK_627,Company_0001108524,201185729.89554998,5026405,2024-07-04,equity_ownership,ownership,
0001067983,UNK_558,Company_0001652044,763925023.3352299,4143153,2024-10-18,equity_ownership,ownership,
0001364742,UNK_782,Company_0000019617,561279484.0498531,5720043,2024-01-06,equity_ownership,ownership,
0000315066,UNK_388,Company_0000310158,694248283.5397278,3274955,2024-08-01,equity_ownership,ownership,
0001364742,UNK_685,Company_0000097476,789044491.2369213,794517,2024-11-19,equity_ownership,ownership,
0001067983,UNK_27,Company_0000077476,495629591.4818769,5463523,2024-06-12,equity_ownership,ownership,
0001067983,UNK_601,Company_0001000275,125348355.16642918,707319,2024-08-08,equity_ownership,ownership,
0001364742,UNK_116,Company_0001594805,480316572.41564626,2046066,2024-04-11,equity_ownership,ownership,
0001067983,UNK_413,Company_0000789019,422590260.94404763,7315609,2024-04-01,equity_ownership,ownership,
0000315066,UNK_270,Company_0001018724,753954531.6902131,2088074,2024-07-03,equity_ownership,ownership,
0000315066,UNK_816,Company_0001035267,334061464.93377364,6533081,2024-06-26,equity_ownership,ownership,
0001364742,UNK_961,Company_0001737806,662973254.5405926,5547130,2024-01-22,equity_ownership,ownership,
0000315066,UNK_670,Company_0000093410,705061396.0641279,6566677,2024-08-02,equity_ownership,ownership,
0001067983,UNK_160,Company_0001551152,814825993.9978368,9688428,2024-02-14,equity_ownership,ownership,
0001364742,UNK_303,Company_0000789019,867129142.1659945,3120108,2024-01-09,equity_ownership,ownership,
0001364742,UNK_197,Company_0000946770,146399344.91717112,4430289,2024-08-26,equity_ownership,ownership,
0000315066,UNK_215,Company_0001744489,795682321.2509274,1846886,2024-04-14,equity_ownership,ownership,
0001067983,UNK_434,Company_0000067088,788062221.1870824,9456415,2024-01-05,equity_ownership,ownership,
0001364742,UNK_107,Company_0000909832,33105644.023063503,3010856,2024-09-16,equity_ownership,ownership,
0001067983,UNK_690,Company_0000901832,408380840.99103844,8183723,2024-08-16,equity_ownership,ownership,
0000315066,UNK_480,Company_0000080424,490907225.4351882,1174810,2024-01-25,equity_ownership,ownership,
0000315066,UNK_302,Company_0002012383,176704878.25366828,7402616,2024-12-16,equity_ownership,ownership,
0001067983,UNK_507,Company_0001306965,728637531.4315091,2224354,2024-11-04,equity_ownership,ownership,
0001364742,UNK_983,Company_0000884394,591561138.8979512,7222165,2024-09-26,equity_ownership,ownership,
0001364742,UNK_106,Company_0000320193,553617517.7784846,5386780,2024-05-18,equity_ownership,ownership,
0001067983,UNK_703,Company_0000104169,315047603.7897384,1249242,2024-03-16,equity_ownership,ownership,
0000315066,UNK_766,Company_0000097476,250388071.57976288,356102,2024-01-01,equity_ownership,ownership,
0000315066,UNK_648,Company_0000858877,636506010.6865009,9740441,2024-02-24,equity_ownership,ownership,
0000315066,UNK_992,Company_0000885725,152204749.08338964,5692765,2024-01-03,equity_ownership,ownership,
0000315066,UNK_315,Company_0001737806,573209873.479662,9261392,2024-01-15,equity_ownership,ownership,
0000315066,UNK_563,Company_0001467373,617795007.6962707,9599090,2024-06-25,equity_ownership,ownership,
0001364742,UNK_669,Company_0001035267,464997614.38336533,987343,2024-02-16,equity_ownership,ownership,
0001067983,UNK_80,Company_0000885725,853189043.8661207,1470737,2024-12-11,equity_ownership,ownership,
0000315066,UNK_972,Company_0000789019,263877544.25796586,7540055,2024-12-13,equity_ownership,ownership,
0000315066,UNK_73,Company_0000895421,377648750.96035784,6283864,2024-08-10,equity_ownership,ownership,
0001364742,UNK_346,Company_0000884394,675896094.8699983,2604357,2024-04-25,equity_ownership,ownership,
0000315066,UNK_657,Company_0000731766,297324925.5109986,2856653,2024-08-20,equity_ownership,ownership,
0001364742,UNK_935,Company_0000101829,120700008.3988859,527653,2024-01-17,equity_ownership,ownership,
0001364742,UNK_618,Company_0000067088,658431144.8110907,7461313,2024-01-08,equity_ownership,ownership,
0000315066,UNK_930,Company_0000072971,942162610.1267407,5066752,2024-07-03,equity_ownership,ownership,
0001067983,UNK_719,Company_0000789019,255232537.62194476,6691841,2024-07-16,equity_ownership,ownership,
0001067983,UNK_247,Company_0001141391,729414344.0396545,7439822,2024-12-27,equity_ownership,ownership,
0001067983,UNK_303,Company_0000001800,976190039.0505898,6113273,2024-03-14,equity_ownership,ownership,
0000315066,UNK_957,Company_0001373715,343010292.4809278,8670178,2024-01-01,equity_ownership,ownership,
0001364742,UNK_825,Company_0000006951,459126526.9383928,6272947,2024-08-03,equity_ownership,ownership,
0001364742,UNK_381,Company_0001000275,101778103.72161373,8729804,2024-01-22,equity_ownership,ownership,
0001067983,UNK_356,Company_0001326801,874804594.8511935,3930330,2024-05-16,equity_ownership,ownership,
0001067983,UNK_665,Company_0000059478,982959441.4463204,3393527,2024-11-19,equity_ownership,ownership,
0001364742,UNK_865,Company_0001321655,488608474.9729044,6397907,2024-12-16,equity_ownership,ownership,
0000315066,UNK_702,Company_0000200406,466798123.4728801,9913706,2024-05-08,equity_ownership,ownership,
0000315066,UNK_118,Company_0000077476,524085775.73953474,1386754,2024-07-14,equity_ownership,ownership,
0000315066,UNK_953,Company_0001045810,311024997.63873297,3515992,2024-11-03,equity_ownership,ownership,
0001364742,UNK_277,Company_0000731766,449728501.5020603,305822,2024-07-28,equity_ownership,ownership,
0001067983,UNK_74,Company_0001413329,651043639.7065833,530146,2024-07-01,equity_ownership,ownership,
0001067983,UNK_247,Company_0001318605,297915385.282184,658694,2024-07-08,equity_ownership,ownership,
0001067983,UNK_99,Company_0000353278,532362347.76065934,6937573,2024-11-15,equity_ownership,ownership,
0001364742,UNK_944,Company_0000909832,536619995.2187983,8600841,2024-09-18,equity_ownership,ownership,
0000315066,UNK_977,Company_0000310158,28077415.419951823,5594227,2024-02-07,equity_ownership,ownership,
0001364742,UNK_137,Company_0000109198,698411927.5796286,2613663,2024-05-15,equity_ownership,ownership,
0001364742,UNK_981,Company_0001035267,777429815.7597882,7528667,2024-09-03,equity_ownership,ownership,
0001067983,UNK_686,Company_0000051143,398561271.6499235,7263779,2024-06-20,equity_ownership,ownership,
0001364742,UNK_773,Company_0000040545,113399111.04955192,4212801,2024-02-28,equity_ownership,ownership,
0001364742,UNK_62,Company_0001067983,206161185.2225993,6789417,2024-06-02,equity_ownership,ownership,
0000315066,UNK_438,Company_0001321655,638595310.9907508,1572545,2024-05-26,equity_ownership,ownership,
0000315066,UNK_177,Company_0000895421,587050692.9712445,9650097,2024-05-19,equity_ownership,ownership,
0001364742,UNK_868,Company_0000796343,445724170.9825209,7825447,2024-01-03,equity_ownership,ownership,
0001364742,UNK_666,Company_0000354950,418962046.7097769,2622641,2024-01-04,equity_ownership,ownership,
0001067983,UNK_753,Company_0002012383,416110877.68445903,7421290,2024-01-19,equity_ownership,ownership,
0000315066,UNK_957,Company_0000804328,409838763.69621956,2197403,2024-09-13,equity_ownership,ownership,
0000315066,UNK_919,Company_0000040545,602456364.7015537,6954580,2024-10-09,equity_ownership,ownership,
0001067983,UNK_749,Company_0000217410,550086091.3843547,1532542,2024-02-25,equity_ownership,ownership,
0001364742,UNK_109,Company_0001707925,272057676.5953377,3754114,2024-04-23,equity_ownership,ownership,
0000315066,UNK_366,Company_0000093410,834871036.6580342,4299915,2024-11-04,equity_ownership,ownership,
0000315066,UNK_336,Company_0001045810,253304277.4360759,6031277,2024-04-09,equity_ownership,ownership,
0000315066,UNK_533,Company_0001737806,704312500.3502388,8247436,2024-07-16,equity_ownership,ownership,
0000315066,UNK_784,Company_0001067983,604065508.9101236,7318897,2024-11-19,equity_ownership,ownership,
0001067983,UNK_639,Company_0000316709,138472842.2634657,1527809,2024-12-26,equity_ownership,ownership,
0000315066,UNK_534,Company_0000732712,463688356.364562,1523661,2024-12-25,equity_ownership,ownership,
0001364742,UNK_775,Company_0001045810,357385595.88485116,3690920,2024-01-15,equity_ownership,ownership,
0000315066,UNK_7,Company_0000051143,379374959.9752651,8195050,2024-12-26,equity_ownership,ownership,
0001067983,UNK_102,Company_0000070858,825780120.9144741,4217161,2024-09-23,equity_ownership,ownership,
0001067983,UNK_829,Company_0000858877,801812998.0030372,5391344,2024-08-12,equity_ownership,ownership,
0001364742,UNK_595,Company_0000707549,843103588.5673119,923057,2024-06-04,equity_ownership,ownership,
0000315066,UNK_857,Company_0002070829,423761405.13816184,8439042,2024-09-07,equity_ownership,ownership,
0001067983,UNK_89,Company_0000831001,83659855.69904864,7592142,2024-11-22,equity_ownership,ownership,
0001067983,UNK_529,Company_0000067088,791612739.6435038,2229751,2024-05-17,equity_ownership,ownership,
0001364742,UNK_970,Company_0000723125,193565916.51862103,4478604,2024-11-20,equity_ownership,ownership,
0000315066,UNK_711,Company_0000019617,601061683.5287801,2002091,2024-07-06,equity_ownership,ownership,
0000315066,UNK_379,Company_0000021344,393116753.8336494,3639202,2024-11-22,equity_ownership,ownership,
0001067983,UNK_669,Company_0001000184,755684185.6356688,25979,2024-02-26,equity_ownership,ownership,
0001067983,UNK_668,Company_0002070829,965855484.7836015,9681824,2024-01-11,equity_ownership,ownership,
0000315066,UNK_995,Company_0000901832,312767993.770918,684979,2024-08-02,equity_ownership,ownership,
0000315066,UNK_722,Company_0000895421,144037637.45902792,7478275,2024-07-03,equity_ownership,ownership,
0001067983,UNK_253,Company_0000097745,526749474.50178653,7383632,2024-03-08,equity_ownership,ownership,
0000315066,UNK_335,Company_0001108524,562966774.4467591,3865726,2024-11-19,equity_ownership,ownership,
0001364742,UNK_194,Company_0001413329,675751432.6926389,989606,2024-12-26,equity_ownership,ownership,
0000315066,UNK_733,Company_0000753308,188143131.55664665,2067317,2024-04-13,equity_ownership,ownership,
0000315066,UNK_294,Company_0000731766,533220049.9746829,34999,2024-09-28,equity_ownership,ownership,
0001067983,UNK_186,Company_0000820313,375329739.2396429,4402178,2024-11-18,equity_ownership,ownership,
0001067983,UNK_430,Company_0001973239,85025238.30932377,6151173,2024-11-22,equity_ownership,ownership,
0001067983,UNK_359,Company_0001373715,400981194.06574017,9060830,2024-02-25,equity_ownership,ownership,
0001067983,UNK_417,Company_0000050863,842182046.6159881,1967498,2024-08-09,equity_ownership,ownership,
0001067983,UNK_733,Company_0001373715,259994711.7802002,2416651,2024-08-04,equity_ownership,ownership,
0000315066,UNK_999,Company_0000831001,862285708.5293076,5406819,2024-10-20,equity_ownership,ownership,
0000315066,UNK_960,Company_0000217410,890824027.4607219,8477719,2024-09-22,equity_ownership,ownership,
0001067983,UNK_10,Company_0000796343,803578565.7841833,562280,2024-04-19,equity_ownership,ownership,
0000315066,UNK_862,Company_0000018230,885253964.3734889,332338,2024-07-05,equity_ownership,ownership,
0000315066,UNK_511,Company_0001089113,150324893.12481028,8734782,2024-05-17,equity_ownership,ownership,
0001067983,UNK_394,Company_0000217410,247434642.0448548,8638717,2024-11-13,equity_ownership,ownership,
0000315066,UNK_225,Company_0000040545,843613019.4126675,1611743,2024-09-18,equity_ownership,ownership,
0001067983,UNK_392,Company_0000217410,103531562.99290693,2908274,2024-03-02,equity_ownership,ownership,
0000315066,UNK_359,Company_0001413329,472444468.7808959,2513955,2024-07-07,equity_ownership,ownership,
0001364742,UNK_447,Company_0000858877,733615493.9811872,7107447,2024-01-15,equity_ownership,ownership,
0000315066,UNK_969,Company_0000077476,386655316.9016479,5109206,2024-01-08,equity_ownership,ownership,
0001364742,UNK_414,Company_0001065280,917125249.2649456,1363653,2024-06-26,equity_ownership,ownership,
0001067983,UNK_375,Company_0000101829,28714486.05422222,7232147,2024-06-05,equity_ownership,ownership,
0001067983,UNK_336,Company_0001114448,314438184.1457011,5575532,2024-02-26,equity_ownership,ownership,
0000315066,UNK_907,Company_0001075531,734441253.6871456,7199308,2024-06-01,equity_ownership,ownership,
0001067983,UNK_101,Company_0001144967,916578885.4993776,514054,2024-03-12,equity_ownership,ownership,
0001067983,UNK_937,Company_0000310158,955132554.9908274,1927336,2024-04-12,equity_ownership,ownership,
0001364742,UNK_367,Company_0001737806,875114647.7811342,8554433,2024-04-15,equity_ownership,ownership,
0001067983,UNK_732,Company_0001737806,538556708.2810926,8170126,2024-07-10,equity_ownership,ownership,
0000315066,UNK_8,Company_0000097476,89778239.6285041,5011924,2024-09-06,equity_ownership,ownership,
0000315066,UNK_12,Company_0001543151,755721878.9709864,4062190,2024-10-05,equity_ownership,ownership,
0001067983,UNK_146,Company_0000012927,592345578.2594466,3531474,2024-07-28,equity_ownership,ownership,
0001364742,UNK_977,Company_0000097476,210686033.5051909,249883,2024-02-09,equity_ownership,ownership,
0001364742,UNK_241,Company_0001403161,113640443.7862587,7084289,2024-01-10,equity_ownership,ownership,
0001067983,UNK_424,Company_0001075531,614086332.922532,8845635,2024-05-16,equity_ownership,ownership,
0001067983,UNK_472,Company_0001393818,778632126.2804201,4855802,2024-01-13,equity_ownership,ownership,
0001067983,UNK_763,Company_0000217410,870036927.0917864,1494454,2024-10-15,equity_ownership,ownership,
0000315066,UNK_6,Company_0000064040,46718241.108363084,6707831,2024-07-27,equity_ownership,ownership,
0000315066,UNK_101,Company_0000796343,511099458.7061051,7201793,2024-01-20,equity_ownership,ownership,
0000315066,UNK_69,Company_0000820313,107400048.55950254,2804477,2024-11-27,equity_ownership,ownership,
0000315066,UNK_503,Company_0000732712,782411385.5430909,2694445,2024-03-02,equity_ownership,ownership,
0001364742,UNK_393,Company_0000001800,540231832.6759144,5881509,2024-03-23,equity_ownership,ownership,
0001364742,UNK_472,Company_0001744489,751637291.5240132,1689779,2024-10-15,equity_ownership,ownership,
0000315066,UNK_387,Company_0001973239,970394005.0122617,8566562,2024-02-11,equity_ownership,ownership,
0000315066,UNK_748,Company_0001065280,872000630.028731,7010968,2024-03-01,equity_ownership,ownership,
0001364742,UNK_914,Company_0001065280,178118482.13545743,4891834,2024-05-08,equity_ownership,ownership,
0001364742,UNK_135,Company_0001543151,622783901.2945492,9514074,2024-12-20,equity_ownership,ownership,
0001067983,UNK_658,Company_0000006951,5889135.413010421,5074940,2024-07-24,equity_ownership,ownership,
0001364742,UNK_141,Company_0001751008,333964291.27021694,1809982,2024-09-23,equity_ownership,ownership,
0001364742,UNK_509,Company_0001035267,695027460.1200985,5038373,2024-11-11,equity_ownership,ownership,
0001364742,UNK_957,Company_0000316709,375730970.7032367,3351746,2024-07-03,equity_ownership,ownership,
0001364742,UNK_990,Company_0000858877,773867743.305343,6580590,2024-04-11,equity_ownership,ownership,
0000315066,UNK_810,Company_0000901832,861731022.9443353,350717,2024-11-09,equity_ownership,ownership,
0001364742,UNK_601,Company_0000021344,447180879.6844597,2097214,2024-11-10,equity_ownership,ownership,
0000315066,UNK_52,Company_0001045810,692069595.339663,3110605,2024-02-24,equity_ownership,ownership,
0001364742,UNK_7,Company_0000080424,656228716.2908356,1021061,2024-01-14,equity_ownership,ownership,
0001067983,UNK_733,Company_0000946770,618374291.8908458,9410833,2024-02-10,equity_ownership,ownership,
0000315066,UNK_297,Company_0000820313,154223170.32970384,510789,2024-06-02,equity_ownership,ownership,
0001067983,UNK_367,Company_0001744489,565435202.7584746,152593,2024-03-10,equity_ownership,ownership,
0001067983,UNK_555,Company_0001114448,589858580.4113592,3212939,2024-12-15,equity_ownership,ownership,
0000315066,UNK_596,Company_0000723125,731312629.8925405,7440534,2024-05-14,equity_ownership,ownership,
0001364742,UNK_756,Company_0000217410,715955382.1690581,2690214,2024-07-10,equity_ownership,ownership,
0001067983,UNK_203,Company_0001373715,141031259.37281376,3901529,2024-09-09,equity_ownership,ownership,
0001364742,UNK_948,Company_0000811809,634190822.0503558,5204790,2024-03-02,equity_ownership,ownership,
0001364742,UNK_562,Company_0001596532,289848825.6486859,1874759,2024-06-08,equity_ownership,ownership,
0000315066,UNK_490,Company_0001551152,357503481.0713984,777467,2024-10-10,equity_ownership,ownership,
0001067983,UNK_738,Company_0001594805,626412612.9271845,5313916,2024-10-02,equity_ownership,ownership,
0001067983,UNK_70,Company_0001018724,363873071.46313643,5952532,2024-04-27,equity_ownership,ownership,
0000315066,UNK_764,Company_0000018230,597695579.0354464,9015966,2024-11-11,equity_ownership,ownership,
0001364742,UNK_373,Company_0001594805,569531199.8629104,87190,2024-09-12,equity_ownership,ownership,
0001067983,UNK_38,Company_0000318154,423949081.4775721,9984586,2024-01-26,equity_ownership,ownership,
0001364742,UNK_242,Company_0000310764,975153325.7238262,9059820,2024-05-20,equity_ownership,ownership,
0001067983,UNK_387,Company_0000789019,296045041.9369472,636947,2024-11-13,equity_ownership,ownership,
0000315066,UNK_802,Company_0001737806,870693982.3139778,8492314,2024-11-14,equity_ownership,ownership,
0001364742,UNK_697,Company_0000006951,728082092.8709223,5387930,2024-05-02,equity_ownership,ownership,
0000315066,UNK_795,Company_0000884394,188039820.10586095,8643325,2024-05-21,equity_ownership,ownership,
0000315066,UNK_719,Company_0001000275,138965606.38250387,8064220,2024-11-22,equity_ownership,ownership,
0000315066,UNK_419,Company_0000310764,284034087.53943324,120063,2024-09-22,equity_ownership,ownership,
0001067983,UNK_291,Company_0001067983,420082152.16497266,482568,2024-11-20,equity_ownership,ownership,
0001364742,UNK_58,Company_0001543151,241314067.91168934,5212201,2024-05-06,equity_ownership,ownership,
0001364742,UNK_607,Company_0001551152,601877295.971891,7558482,2024-01-06,equity_ownership,ownership,
0001067983,UNK_816,Company_0001596532,695166308.4478593,7481549,2024-09-26,equity_ownership,ownership,
0000315066,UNK_24,Company_0000909832,743898296.3883147,3293574,2024-08-16,equity_ownership,ownership,
0001364742,UNK_480,Company_0000097745,329155295.67229927,4615526,2024-12-28,equity_ownership,ownership,
0001364742,UNK_452,Company_0000040545,878399982.084785,17377,2024-09-05,equity_ownership,ownership,
0001067983,UNK_763,Company_0001543151,775521890.9071116,287836,2024-09-14,equity_ownership,ownership,
0001067983,UNK_125,Company_0000051143,57685144.94881819,7254428,2024-02-11,equity_ownership,ownership,
0000315066,UNK_950,Company_0002070829,902417456.6006284,8872668,2024-02-21,equity_ownership,ownership,
0001364742,UNK_715,Company_0001751008,452186082.28259134,9500196,2024-07-14,equity_ownership,ownership,
0000315066,UNK_575,Company_0001108524,570188091.3455487,2950805,2024-02-24,equity_ownership,ownership,
0001067983,UNK_830,Company_0001144967,78443710.89195006,7593745,2024-04-22,equity_ownership,ownership,
0001067983,UNK_782,Company_0000063908,986297373.0013282,291687,2024-09-11,equity_ownership,ownership,
0001067983,UNK_743,Company_0000896878,208461705.70092726,8476980,2024-05-15,equity_ownership,ownership,
0001067983,UNK_347,Company_0000320193,207716296.90034246,852126,2024-11-02,equity_ownership,ownership,
0000315066,UNK_472,Company_0001707925,274519382.76270276,7243648,2024-10-22,equity_ownership,ownership,
0001067983,UNK_729,Company_0001730168,150032426.54785466,9477441,2024-08-21,equity_ownership,ownership,
0000315066,UNK_678,Company_0001000184,690758279.512578,344474,2024-12-17,equity_ownership,ownership,
0001067983,UNK_790,Company_0001341439,476783220.18522114,9753609,2024-04-19,equity_ownership,ownership,
0000315066,UNK_299,Company_0001551152,736870733.2074604,5568695,2024-03-16,equity_ownership,ownership,
0001067983,UNK_857,Company_0000858877,561437482.8838578,1399051,2024-12-13,equity_ownership,ownership,
0001364742,UNK_717,Company_0001373715,158422870.1607709,6006992,2024-01-24,equity_ownership,ownership,
0001364742,UNK_241,Company_0000109198,78484023.8537201,5796651,2024-02-06,equity_ownership,ownership,
0001067983,UNK_923,Company_0000310764,487194193.34296334,4948454,2024-06-17,equity_ownership,ownership,
0000315066,UNK_887,Company_0000093410,501805538.2275741,4155583,2024-04-03,equity_ownership,ownership,
0001067983,UNK_865,Company_0000318154,664746980.778598,1888971,2024-09-23,equity_ownership,ownership,
0001067983,UNK_837,Company_0000789019,647997542.579431,1684541,2024-05-20,equity_ownership,ownership,
0000315066,UNK_162,Company_0000731766,703264257.0019228,813792,2024-11-10,equity_ownership,ownership,
0001067983,UNK_750,Company_0001744489,296685098.0303328,4912663,2024-05-12,equity_ownership,ownership,
0000315066,UNK_544,Company_0000101829,710166467.8585955,8642021,2024-04-08,equity_ownership,ownership,
0001067983,UNK_270,Company_0000318154,491432668.1706025,456595,2024-11-27,equity_ownership,ownership,
